,username,mediacount,followees,followers
0,malexrod10,747,3144,655
1,__skeksis__,226,967,1065
2,irashed73,0,645,119
3,maliciousvaldez,13,992,391
4,musclecar_maniac84,2,2783,189
5,rabidspirit,0,66,0
6,quiqui.vr,0,477,731
7,cxmeronspicer,43,445,310
8,daliadeeb215,8,2502,716
9,crissalvarezr,36,400,232
10,iosama_i,5,818,752
11,pablooo_xix,4,475,233
12,thefiendbrotherhood,0,57,3
13,youngrj,22,312,235
14,bartuflk,5,668,678
15,mrcuus,79,1018,1149
16,senayturk,18,715,460
17,chudykris,64,323,62
18,fleurdessp,0,55,355
19,dougerbert,221,900,3960
20,felixpcapetillo14_,4,621,695
21,beba_escam,0,605,668
22,mohammad70322,0,301,101
23,mikailg26,0,104,1
24,no1jinn,0,199,10
25,harisfazlani,170,877,3142
26,sacha_floyd,170,852,489
27,kang_blissful,271,929,288
28,_c0d3ine_,0,10,0
29,tfanfoi,1,766,368
30,minhacaixadeferramentas,0,736,0
31,funky.neno,59,739,1412
32,ygtaslihann,37,896,1864
33,angel_fonck,27,2473,865
34,jpedritos_,4,825,548
35,victtorselva,29,336,333
36,itsmyartmood,18,36,260
37,kevenhendo,124,1368,542
38,schxxtd,2,503,443
39,melissa_sandal,9,558,1718
40,srj_venturecapitalists,202,2997,345
41,drwatson.bahiablanca,37,627,45
42,marinarodvar,18,1909,2443
43,kingvnx,12,286,432
44,benhaas,135,291,139
45,_dmxh,3,134,96
46,kani.senadheera,0,85,223
47,walterlicinio,123,1179,706
48,yurilyra,18,1064,1347
49,serap.cvk,1,232,196
50,mogo_h,6,431,444
51,francisco.san05,295,524,732
52,emmaplierr,0,308,174
53,joaobrocatto,63,2144,3142
54,alfonsoestevan16,4,138,116
55,hugoboucard,3,544,310
56,malecksssss,59,2593,725
57,christianm81,27,709,731
58,renemgibson,70,1093,7093
59,fa1ry.kil1er,486,2085,1819
60,yamada_seikatsu,0,26,1
61,iamtugceselin,65,707,984
62,devotion_visuals,50,1065,577
63,rollinstone007,1017,1670,81
64,robnasq,7,383,3054
65,_tyedied,98,520,23696
66,emirkanau,0,6,5
67,viniccsta,46,724,706
68,chuytorres11,11,805,281
69,renato._77,15,424,97
70,ohlafa,10,202,3428
71,abed_m_khatib,6,463,207
72,loaimostafa36,25,391,756
73,skyinreverse,29,70,37
74,jimescianca,153,1136,865
75,akaisaacc,0,18,17
76,thalitachr,2,501,546
77,cable__,288,1114,1459
78,explore_with_jas,247,202,2996
79,yaelllmics,682,4606,1610
80,4everenee,0,106,140
81,adityasalvii,9,421,137
82,baarmaan_,199,4971,2660
83,enesberkaybayrm,1,172,130
84,oguzhantublek,83,440,1261
85,ghazale.sayad,7,13,0
86,rahaeenews,4804,3986,15540
87,xzkan._,0,249,236
88,ovictorrsantos,28,1546,660
89,kareem__k,0,2347,1388
90,lotusblkk,0,125,19
91,gabanitaa45,0,28,3
92,ssenuaa,9,175,27
93,jasonsmartphoto,17,99,60
94,jasonsmart,15,967,479
95,infernal.90,1,504,525
96,ilaydacaglar,837,2008,873
97,dez.336,0,6,0
98,christinasuzaku,651,1714,1254
99,nathannixonn,1,578,999
100,septhurt,2,4,0
101,milica_pasic,150,569,675
102,norge.vizcay,15,357,381
103,losojostehablan,4,745,916
104,kennsanniee.m,11,207,2606
105,mavendano_a,4,340,337
106,richi._.1,4,1293,212
107,yazeedx15,4,9,11
108,notoscale,141,1602,5256
109,_kaybedenleer,18,120,277
110,ml.de.sign,0,493,0
111,dogukannkurnaz,93,992,2079
112,msdist,0,777,231
113,afonin.ux,35,390,383
114,wenewan,57,1305,2080
115,rich_sutton,35,1403,520
116,savartbook,24,199,185
117,tomekruiz,512,1075,610
118,sureshurely,20,580,184
119,xfrozenfire_,2,275,138
120,nacho_del_mal,332,911,498
121,duddigrim,217,1080,10205
122,_lvvwvvl_,0,106,0
123,kharoanjorin,5,528,155
124,fianso_p26,10,489,492
125,yas.craici,89,431,980
126,mon_sieur_nicolas,6,933,244
